Company Name,Title,Location,Stipend,Work From Home
SpotLet Technologies Private Limited,Marketing,Jaipur,"₹ 7,000-8,000 /month",No
Ambika Global Foods And Beverages Private Limited,QA & Production,Work From Home,"₹ 6,000 /month",Yes
Kaholas,Android App Development,Hyderabad,"₹ 12,000-15,000 /month",No
Quizzy,Research Analysis,Work From Home,"₹ 5,000 /month",Yes
Bijon Trading Private Limited (Genotek),Mechanical Engineering,Hyderabad,"₹ 8,000 /month",No
Celebrare,Sales,Thane,"₹ 4,000-6,000 /month",No
SeiaSecure IT Solutions,Blockchain Development,Navi Mumbai,"₹ 5,000-10,000 /month",No
IIT Delhi- Rendezvous,Campus Ambassador,Delhi,Performance Based,No
Brands Jar,Photography And Media Production,Work From Home,"₹ 10,000 /month",Yes
Blackcoffer,News Reporting,Work From Home,"₹ 2,000 /month",Yes
Pereyan LLP,Product Media Managment,Work From Home,"₹ 2,000-8,000 /month",Yes
She Can Foundation,Social Work,Work From Home,Unpaid,Yes
She Can Foundation,Volunteering,Work From Home,Unpaid,Yes
She Can Foundation,Tele Fundraising,Pune,Unpaid,No
Pereyan LLP,Videography,Work From Home,"₹ 2,000-8,000 /month",Yes
She Can Foundation,Versatile Social Impact,Work From Home,Unpaid,Yes
She Can Foundation,Fundraising Operations,Work From Home,Unpaid,Yes
She Can Foundation,Summer - Social Program,Work From Home,Unpaid,Yes
She Can Foundation,Summer Internship - Exploring The Social Sector,Work From Home,Unpaid,Yes
Stareout Games,Backend Development,Work From Home,"₹ 15,000-20,000 /month",Yes
Pereyan LLP,Product Photography,Work From Home,"₹ 2,000-8,000 /month",Yes
Chirpn IT Solutions,DevOps Projects,Work From Home,"₹ 5,000 lump sum",Yes
Subhansh Sewa Trust,Fundraising,Work From Home,"₹ 1,000 /month",Yes
Marpu Foundation,Fundraising,Work From Home,Unpaid,Yes
She Can Foundation,Virtual Charity Drive,Hyderabad,Unpaid,No
Aam Aadmi Party,Research,Work From Home,Unpaid,Yes
Tutedude,UI/UX Design,Jodhpur,"₹ 7,000-12,000 /month",No
Stareout Games,Artificial Intelligence Engineering,Work From Home,"₹ 15,000 /month",Yes
Bijon Trading Private Limited (Genotek),Business Development (Sales) -  Hubspot Certification Required,Work From Home,"₹ 4,000 /month +  Incentives",Yes
